,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_intercept,param_gamma,param_l1_ratio,param_svm_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
339,0.002843165397644043,0.00039327344376449,0.0010880231857299805,4.602556275381496e-05,0.003,False,auto,1,1000,"{'alpha': 0.003, 'fit_intercept': False, 'gamma': 'auto', 'l1_ratio': 1, 'svm_C': 1000}",0.6666666666666666,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.5833333333333333,0.21408720964441882,1
319,0.0028572797775268553,0.00041309962421549174,0.0010746240615844727,3.770061207722464e-05,0.003,False,scale,1,1000,"{'alpha': 0.003, 'fit_intercept': False, 'gamma': 'scale', 'l1_ratio': 1, 'svm_C': 1000}",0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5666666666666667,0.16996731711975951,2
318,0.0030120134353637694,0.0004892886590774,0.0010834455490112305,4.590434448907735e-05,0.003,False,scale,1,100,"{'alpha': 0.003, 'fit_intercept': False, 'gamma': 'scale', 'l1_ratio': 1, 'svm_C': 100}",0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5666666666666667,0.16996731711975951,2
317,0.0029776811599731444,0.00040364772483065517,0.001134800910949707,4.650055359382059e-05,0.003,False,scale,1,10,"{'alpha': 0.003, 'fit_intercept': False, 'gamma': 'scale', 'l1_ratio': 1, 'svm_C': 10}",0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5666666666666667,0.16996731711975951,2
1439,0.0023172616958618162,0.0007235742989256689,0.0013820648193359375,0.0006849683936374047,1,True,auto,1,1000,"{'alpha': 1, 'fit_intercept': True, 'gamma': 'auto', 'l1_ratio': 1, 'svm_C': 1000}",0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.55,0.1674979270186815,5
1339,0.0019449710845947266,6.0846252473644855e-05,0.0011231184005737304,2.197491252179459e-05,0.6,False,auto,1,1000,"{'alpha': 0.6, 'fit_intercept': False, 'gamma': 'auto', 'l1_ratio': 1, 'svm_C': 1000}",0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.55,0.1674979270186815,5
635,0.002201962471008301,5.730285771536726e-05,0.0012922048568725585,3.709971594009526e-05,0.03,True,auto,0.75,1000,"{'alpha': 0.03, 'fit_intercept': True, 'gamma': 'auto', 'l1_ratio': 0.75, 'svm_C': 1000}",0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.55,0.1674979270186815,5
1031,0.002791142463684082,0.00014412889007000613,0.0015707969665527343,0.00012143424772226524,0.3,True,auto,0.5,1000,"{'alpha': 0.3, 'fit_intercept': True, 'gamma': 'auto', 'l1_ratio': 0.5, 'svm_C': 1000}",0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.55,0.1674979270186815,5
1231,0.0024546146392822265,0.0001297191734992313,0.0013901710510253907,3.277311189078263e-05,0.6,True,auto,0.5,1000,"{'alpha': 0.6, 'fit_intercept': True, 'gamma': 'auto', 'l1_ratio': 0.5, 'svm_C': 1000}",0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.55,0.1674979270186815,5
159,0.011054205894470214,0.001597516614799927,0.0010955333709716797,4.2650011835838604e-05,0.001,False,0.01,1,1000,"{'alpha': 0.001, 'fit_intercept': False, 'gamma': 0.01, 'l1_ratio': 1, 'svm_C': 1000}",0.5,0.5,0.8333333333333334,0.5,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.5,0.8333333333333334,0.5,0.55,0.21147629234082538,5
